batch_id,daq,I3Photons_empty,I3Photons_nonempty,empty_frac,status,error,path
3920,200.0,136.0,64.0,0.68,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3920.i3
3921,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3921.i3
3922,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3922.i3
3923,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3923.i3
3924,200.0,142.0,58.0,0.71,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3924.i3
3925,200.0,129.0,71.0,0.645,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3925.i3
3926,200.0,126.0,74.0,0.63,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3926.i3
3927,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3927.i3
3928,200.0,134.0,66.0,0.67,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3928.i3
3929,200.0,130.0,70.0,0.65,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3929.i3
393,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_393.i3
