string,x,y
579,240.0,-103.9
580,280.0,-103.9
581,320.0,-103.9
582,360.0,-103.9
583,400.0,-103.9
584,440.0,-103.9
585,480.0,-103.9
586,520.0,-103.9
587,560.0,-103.9
588,600.0,-103.9
589,640.0,-103.9
590,680.0,-103.9
591,720.0,-103.9
592,760.0,-103.9
593,-740.0,-69.3
594,-700.0,-69.3
595,-660.0,-69.3
596,-620.0,-69.3
597,-580.0,-69.3
598,-540.0,-69.3
599,-500.0,-69.3
600,-460.0,-69.3
601,-420.0,-69.3
602,-380.0,-69.3
603,-340.0,-69.3
604,-300.0,-69.3
605,-260.0,-69.3
606,-220.0,-69.3
607,-180.0,-69.3
608,-140.0,-69.3
609,-100.0,-69.3
610,-60.0,-69.3
611,-20.0,-69.3
612,20.0,-69.3
613,60.0,-69.3
614,100.0,-69.3
615,140.0,-69.3
616,180.0,-69.3
617,220.0,-69.3
618,260.0,-69.3
619,300.0,-69.3
620,340.0,-69.3
621,380.0,-69.3
622,420.0,-69.3
623,460.0,-69.3
624,500.0,-69.3
625,540.0,-69.3
626,580.0,-69.3
627,620.0,-69.3
628,660.0,-69.3
629,700.0,-69.3
630,740.0,-69.3
631,-760.0,-34.6
632,-720.0,-34.6
633,-680.0,-34.6
634,-640.0,-34.6
635,-600.0,-34.6
636,-560.0,-34.6
637,-520.0,-34.6
638,-480.0,-34.6
639,-440.0,-34.6
640,-400.0,-34.6
641,-360.0,-34.6
642,-320.0,-34.6
643,-280.0,-34.6
644,-240.0,-34.6
645,-200.0,-34.6
646,-160.0,-34.6
647,-120.0,-34.6
648,-80.0,-34.6
649,-40.0,-34.6
650,0.0,-34.6
651,40.0,-34.6
652,80.0,-34.6
653,120.0,-34.6
654,160.0,-34.6
655,200.0,-34.6
656,240.0,-34.6
657,280.0,-34.6
658,320.0,-34.6
659,360.0,-34.6
660,400.0,-34.6
661,440.0,-34.6
662,480.0,-34.6
663,520.0,-34.6
664,560.0,-34.6
665,600.0,-34.6
666,640.0,-34.6
667,680.0,-34.6
668,720.0,-34.6
669,760.0,-34.6
670,-780.0,0.0
671,-740.0,0.0
672,-700.0,0.0
673,-660.0,0.0
674,-620.0,0.0
675,-580.0,0.0
676,-540.0,0.0
677,-500.0,0.0
678,-460.0,0.0
