timestamp,index,utilization_gpu_pct,memory_used_mib,memory_total_mib
2026-07-29T00:06:18-07:00,0, [N/A], 31868, 81559
2026-07-29T00:07:18-07:00,0, [N/A], 31868, 81559
2026-07-29T00:08:18-07:00,0, [N/A], 32074, 81559
2026-07-29T00:09:18-07:00,0, [N/A], 31914, 81559
2026-07-29T00:10:19-07:00,0, [N/A], 31914, 81559
2026-07-29T00:11:19-07:00,0, [N/A], 31914, 81559
2026-07-29T00:12:19-07:00,0, [N/A], 31914, 81559
2026-07-29T00:13:19-07:00,0, [N/A], 31914, 81559
2026-07-29T00:14:19-07:00,0, [N/A], 31914, 81559
2026-07-29T00:15:19-07:00,0, [N/A], 31914, 81559
2026-07-29T00:16:20-07:00,0, [N/A], 31914, 81559
2026-07-29T00:17:20-07:00,0, [N/A], 31914, 81559
2026-07-29T00:18:20-07:00,0, [N/A], 31914, 81559
2026-07-29T00:19:20-07:00,0, [N/A], 31914, 81559
2026-07-29T00:20:20-07:00,0, [N/A], 31914, 81559
2026-07-29T00:21:20-07:00,0, [N/A], 31914, 81559
2026-07-29T00:22:20-07:00,0, [N/A], 31914, 81559
2026-07-29T00:23:20-07:00,0, [N/A], 31914, 81559
2026-07-29T00:24:20-07:00,0, [N/A], 31914, 81559
2026-07-29T00:25:21-07:00,0, [N/A], 31914, 81559
2026-07-29T00:26:21-07:00,0, [N/A], 31914, 81559
2026-07-29T00:27:21-07:00,0, [N/A], 31914, 81559
2026-07-29T00:28:21-07:00,0, [N/A], 31914, 81559
2026-07-29T00:29:21-07:00,0, [N/A], 31914, 81559
2026-07-29T00:30:21-07:00,0, [N/A], 31914, 81559
2026-07-29T00:31:21-07:00,0, [N/A], 31914, 81559
2026-07-29T00:32:21-07:00,0, [N/A], 31914, 81559
2026-07-29T00:33:21-07:00,0, [N/A], 31914, 81559
2026-07-29T00:34:22-07:00,0, [N/A], 31914, 81559
2026-07-29T00:35:22-07:00,0, [N/A], 31914, 81559
2026-07-29T00:36:22-07:00,0, [N/A], 31914, 81559
2026-07-29T00:37:22-07:00,0, [N/A], 31914, 81559
2026-07-29T00:38:22-07:00,0, [N/A], 31914, 81559
2026-07-29T00:39:22-07:00,0, [N/A], 31914, 81559
2026-07-29T00:40:22-07:00,0, [N/A], 31914, 81559
2026-07-29T00:41:22-07:00,0, [N/A], 31914, 81559
2026-07-29T00:42:22-07:00,0, [N/A], 31914, 81559
2026-07-29T00:43:22-07:00,0, [N/A], 31914, 81559
2026-07-29T00:44:23-07:00,0, [N/A], 31914, 81559
2026-07-29T00:45:23-07:00,0, [N/A], 31914, 81559
2026-07-29T00:46:23-07:00,0, [N/A], 31914, 81559
2026-07-29T00:47:23-07:00,0, [N/A], 31914, 81559
2026-07-29T00:48:23-07:00,0, [N/A], 31914, 81559
2026-07-29T00:49:23-07:00,0, [N/A], 31914, 81559
2026-07-29T00:50:23-07:00,0, [N/A], 31914, 81559
2026-07-29T00:51:24-07:00,0, [N/A], 31914, 81559
2026-07-29T00:52:24-07:00,0, [N/A], 31914, 81559
2026-07-29T00:53:24-07:00,0, [N/A], 31914, 81559
2026-07-29T00:54:24-07:00,0, [N/A], 31914, 81559
2026-07-29T00:55:24-07:00,0, [N/A], 31914, 81559
2026-07-29T00:56:24-07:00,0, [N/A], 31914, 81559
2026-07-29T00:57:24-07:00,0, [N/A], 31914, 81559
2026-07-29T00:58:24-07:00,0, [N/A], 31914, 81559
2026-07-29T00:59:24-07:00,0, [N/A], 31914, 81559
2026-07-29T01:00:25-07:00,0, [N/A], 31914, 81559
2026-07-29T01:01:25-07:00,0, [N/A], 31914, 81559
2026-07-29T01:02:25-07:00,0, [N/A], 31914, 81559
2026-07-29T01:03:25-07:00,0, [N/A], 31914, 81559
2026-07-29T01:04:25-07:00,0, [N/A], 31914, 81559
2026-07-29T01:05:25-07:00,0, [N/A], 31914, 81559
2026-07-29T01:06:25-07:00,0, [N/A], 31914, 81559
2026-07-29T01:07:25-07:00,0, [N/A], 31914, 81559
